name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
A. Isak,22,2028,81,85,38000000.0,95000.0,66,82,74,77,79,85,70,65,57,86,80,84,83,80,74,81,72,74,75,76,55,34,83,78,75,82,30,32,24,7,6,9,7,11
J. David,22,2025,81,85,38000000.0,41000.0,67,84,76,77,76,79,58,58,69,79,81,85,75,82,70,79,86,83,77,74,55,33,85,73,86,81,29,29,19,7,7,11,7,7
Ansu Fati,19,2027,79,89,38000000.0,84000.0,69,82,66,73,69,82,75,73,69,80,90,87,89,77,82,74,75,63,48,72,48,19,80,74,74,82,23,32,28,6,9,8,10,7
Yeremy Pino,19,2027,79,87,38000000.0,21000.0,77,79,46,78,67,81,73,60,74,80,78,77,79,74,79,68,34,70,33,69,48,29,79,76,54,60,31,48,41,9,7,14,6,9
T. Abraham,24,2026,81,85,37500000.0,71000.0,53,79,85,77,80,80,55,55,53,82,80,85,61,84,53,80,73,79,85,68,68,25,81,77,79,80,40,29,20,12,7,8,13,13
A. Danjuma,25,"Jun 30, 2023",82,83,37000000.0,47000.0,77,85,72,80,70,84,79,59,66,83,84,87,84,86,76,82,67,69,74,79,55,32,83,78,75,77,35,52,47,15,8,10,8,14
T. Werner,26,2026,82,83,36500000.0,73000.0,69,78,75,79,82,82,70,58,55,83,93,90,79,85,76,85,75,81,64,77,63,37,86,68,78,79,39,20,19,9,9,8,15,9
J. Álvarez,22,2027,79,86,36000000.0,110000.0,75,82,68,76,75,82,80,74,74,84,81,77,87,78,87,84,69,79,70,80,84,46,82,78,73,82,60,53,46,6,10,8,15,6
A. Gouiri,22,2027,79,86,36000000.0,49000.0,76,81,68,79,78,82,78,76,69,80,81,75,76,77,72,81,69,72,73,82,61,44,82,76,78,78,45,41,32,6,12,8,9,7
G. Raspadori,22,"Jun 30, 2023",79,86,36000000.0,37000.0,54,80,69,78,76,80,69,60,58,83,85,77,77,78,86,77,60,65,54,75,59,18,81,76,76,77,24,23,21,13,14,7,7,9
E. Smith Rowe,21,2026,79,86,35500000.0,69000.0,74,76,36,81,60,84,72,58,67,82,78,76,77,79,75,70,34,73,61,71,52,28,82,78,64,78,37,30,31,11,8,14,8,10
Roberto Firmino,30,2023,83,83,35500000.0,150000.0,73,76,78,84,79,87,81,65,76,88,73,74,84,85,86,77,81,84,74,76,75,58,84,83,72,88,52,64,42,8,11,9,6,10
W. Ben Yedder,31,2024,84,84,35500000.0,88000.0,74,87,74,83,85,87,82,76,66,88,82,81,91,85,91,84,77,72,68,74,62,44,89,80,85,85,34,33,26,6,13,9,7,7
M. Mount,23,2024,81,84,35000000.0,100000.0,83,78,59,83,75,81,82,84,83,82,76,72,77,81,76,81,54,83,58,82,68,59,79,80,69,82,56,59,42,11,12,13,8,12
Richarlison,25,2027,81,84,34500000.0,105000.0,73,81,82,77,78,84,74,65,61,82,81,77,82,80,69,83,86,79,76,72,84,46,81,74,77,82,43,58,48,12,7,8,11,13
Sancet,22,2032,80,86,34000000.0,29000.0,69,76,71,82,73,82,72,53,74,83,75,72,84,81,67,79,57,80,76,74,56,70,79,83,70,85,45,68,60,15,11,6,15,7
D. Kamada,25,2023,81,83,32500000.0,37000.0,75,75,53,84,66,83,78,74,80,83,81,78,85,80,84,65,59,79,57,73,54,52,81,82,80,81,53,57,54,6,10,11,6,11
M. Guendouzi,23,2025,80,85,31500000.0,41000.0,67,66,69,84,58,76,75,67,80,80,75,76,83,79,71,75,76,87,75,69,86,77,74,82,70,83,72,76,72,6,13,6,13,11
A. Saint-Maximin,25,2026,81,82,31000000.0,105000.0,74,72,53,77,66,92,76,58,64,83,89,89,93,78,89,82,73,77,74,70,43,23,77,77,58,83,30,25,23,10,9,12,7,7
M. Terrier,25,2025,81,82,31000000.0,61000.0,73,85,75,78,79,80,77,58,72,82,84,86,73,78,70,79,78,77,75,80,57,27,82,77,73,79,34,31,34,12,5,13,5,8
S. Haller,28,2026,82,82,31000000.0,68000.0,42,84,86,76,83,74,57,46,51,79,58,69,66,84,52,83,82,73,91,65,67,36,87,72,88,82,40,61,56,6,7,14,7,6
K. Adeyemi,20,2027,78,87,31000000.0,33000.0,66,77,63,74,71,80,67,62,64,77,95,96,88,76,81,76,91,75,65,74,59,23,76,70,70,74,18,19,25,12,12,7,12,7
André Silva,26,2026,81,82,31000000.0,68000.0,60,83,84,79,83,82,77,39,63,84,76,72,77,84,75,82,88,79,76,78,75,59,82,74,84,84,36,40,34,14,13,7,11,8
A. Lacazette,31,2025,83,83,30500000.0,95000.0,68,86,75,82,81,83,74,74,72,84,74,74,81,84,82,85,76,72,79,78,74,42,85,81,83,84,39,45,32,11,6,9,5,6
M. Thuram,24,2023,80,84,30500000.0,34000.0,74,79,77,74,70,84,66,51,62,80,78,91,76,78,57,83,71,79,85,75,45,50,80,76,70,75,38,49,37,11,13,14,9,15
Morata,29,2024,82,82,30500000.0,77000.0,72,84,85,76,79,78,78,50,63,82,81,84,74,80,62,80,86,78,81,74,69,26,84,77,75,78,37,14,20,4,5,4,4,5
Borja Iglesias,29,2026,82,82,30500000.0,39000.0,50,86,82,76,73,74,51,65,63,81,65,73,58,77,67,85,69,71,91,75,70,32,85,73,92,80,39,36,27,14,12,16,13,16
G. Lo Celso,26,"Jun 30, 2023",81,82,30500000.0,100000.0,78,73,62,84,71,85,82,79,83,85,74,69,81,82,80,82,56,75,69,74,82,70,75,85,65,83,64,73,68,10,7,10,15,14
C. Pulisic,23,2024,80,84,30000000.0,105000.0,74,73,50,77,70,86,70,58,59,83,88,82,87,77,87,76,79,67,54,61,45,33,78,78,61,79,38,32,47,8,12,13,16,14
W. Zaha,29,2023,82,82,30000000.0,85000.0,75,80,47,74,68,87,71,54,69,86,88,91,85,74,75,83,58,78,77,72,77,35,78,70,76,80,34,39,36,15,10,15,11,10
V. Grifo,29,2026,82,82,30000000.0,43000.0,88,77,47,80,73,82,85,87,75,83,73,75,81,79,79,84,52,71,65,79,52,45,81,80,90,74,48,31,30,10,12,8,8,14
M. Götze,30,2025,82,82,29500000.0,41000.0,80,75,47,86,84,83,81,72,81,88,68,62,78,81,83,75,58,85,67,68,59,65,81,86,78,87,64,42,53,14,7,12,6,10
L. Bailey,24,2025,80,83,29000000.0,84000.0,73,78,57,72,73,84,79,79,65,81,93,92,85,78,84,79,76,63,61,77,55,21,79,77,71,75,45,25,18,12,13,6,15,14
D. Malen,23,2026,80,83,29000000.0,45000.0,73,80,67,77,76,85,76,61,58,84,91,88,86,78,84,85,76,74,71,72,62,31,79,74,74,76,29,33,35,7,9,9,10,14
M. Kean,22,"Jun 30, 2023",78,85,29000000.0,41000.0,48,77,79,68,72,77,69,44,46,75,85,89,79,72,79,84,83,79,81,66,60,31,81,58,65,72,40,36,30,13,8,10,7,9
N. González,24,2026,80,83,29000000.0,58000.0,78,79,80,80,68,85,65,54,66,85,85,88,81,76,78,75,79,76,55,65,67,39,79,69,85,76,38,46,39,10,6,9,5,8
T. Kubo,21,2027,78,85,29000000.0,28000.0,72,83,60,74,73,83,75,73,65,85,88,79,85,82,83,75,52,75,59,76,43,29,81,68,69,68,38,43,46,6,7,15,10,10
L. Openda,22,2027,79,85,28500000.0,37000.0,69,80,74,72,68,77,59,44,59,76,94,93,81,80,83,76,92,78,78,69,74,26,80,69,75,75,29,23,19,9,8,10,8,13
Y. En-Nesyri,25,2025,80,83,28500000.0,35000.0,51,81,86,73,76,76,63,56,58,79,81,83,68,80,40,82,92,84,78,75,76,33,82,56,73,75,27,31,27,13,9,14,9,13
E. Ünal,25,2025,80,83,28500000.0,37000.0,60,83,81,78,82,81,74,78,62,80,75,73,81,80,73,81,83,78,83,79,75,29,80,70,84,76,34,43,34,8,14,8,13,13
H. Lozano,26,2024,81,81,28000000.0,69000.0,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75,42,35,29,11,10,14,14,10
E. Elmas,22,2025,79,85,28000000.0,49000.0,68,73,58,81,56,86,64,54,77,85,77,75,84,73,69,79,47,76,64,74,72,69,72,74,58,74,62,72,64,8,5,14,6,15
Joelinton,25,2024,80,83,27500000.0,90000.0,56,68,80,81,59,84,55,38,76,85,75,80,68,82,73,81,80,87,88,61,87,80,79,81,61,80,78,82,74,9,13,8,13,13
Beto,24,2026,80,82,27500000.0,22000.0,40,83,77,67,73,76,63,51,60,75,83,90,63,77,58,82,61,78,90,70,72,18,81,60,71,78,17,20,21,15,11,9,6,13
S. Chukwueze,23,2024,79,85,27500000.0,32000.0,73,74,44,73,70,87,73,58,60,81,92,86,86,74,83,79,67,70,66,74,47,33,76,70,55,72,40,32,33,13,7,9,7,6
Matheus Cunha,23,"Jun 30, 2023",79,84,27000000.0,53000.0,75,79,68,78,75,86,77,64,67,83,79,86,85,79,70,82,74,79,72,80,69,30,80,77,74,81,33,33,32,8,7,13,13,11
Brahim,22,"Jun 30, 2023",79,84,27000000.0,120000.0,71,71,30,83,55,82,74,61,74,83,84,76,89,72,91,71,66,65,44,73,41,30,75,78,58,72,40,23,21,13,9,13,10,6
G. Laborde,28,2026,81,81,26500000.0,61000.0,74,83,84,80,84,79,75,59,71,81,73,74,80,80,62,82,87,87,77,77,72,36,82,78,69,80,38,34,23,14,15,9,14,9
M. Reus,33,2024,84,84,26500000.0,72000.0,84,84,44,85,86,86,87,85,78,86,74,63,82,85,81,85,68,72,66,81,51,56,84,86,81,86,59,47,59,12,12,13,13,11
A. Milik,28,"Jun 30, 2023",81,81,26500000.0,56000.0,63,84,85,75,84,77,76,81,64,83,55,65,69,82,61,84,81,63,81,79,67,36,83,78,79,84,35,34,32,9,16,16,15,6
Deulofeu,28,2024,81,81,26500000.0,28000.0,74,80,40,81,75,87,80,77,66,84,90,90,92,78,89,80,34,75,67,80,59,25,79,76,77,77,34,30,22,12,16,14,11,11
B. Bourigeaud,28,2026,81,81,26000000.0,61000.0,83,75,66,83,78,82,80,82,79,82,74,75,72,81,72,77,72,86,72,78,74,73,78,81,76,78,63,68,58,14,7,15,11,15
M. Politano,28,2024,81,81,26000000.0,72000.0,80,76,40,79,75,83,79,77,76,84,84,82,89,81,88,78,50,77,41,82,63,38,76,77,70,79,63,29,29,11,12,6,8,11
Iñaki Williams,28,2028,81,81,26000000.0,37000.0,75,77,75,74,74,80,76,58,66,76,93,94,79,82,62,85,89,87,83,76,76,30,85,73,68,81,42,44,38,14,15,14,10,13
Iago Aspas,34,2025,85,85,26000000.0,50000.0,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,69,60,80,63,39,86,81,82,85,39,21,18,12,16,9,12,13
H. Ziyech,29,2025,81,81,25500000.0,130000.0,85,72,52,84,74,83,90,78,85,83,78,74,82,80,78,81,33,72,58,79,73,51,78,84,67,79,44,57,41,11,7,11,8,14
C. Wilson,30,2024,81,81,25500000.0,110000.0,61,85,78,72,71,77,63,45,62,80,79,81,76,83,74,80,70,73,79,70,74,40,86,70,85,80,39,40,27,10,15,8,10,6
D. Zapata,31,2024,82,82,25500000.0,70000.0,47,84,82,74,79,79,55,62,57,81,77,79,67,82,58,86,80,78,95,69,72,20,86,66,75,82,44,24,22,9,9,8,6,8
Arthur Cabral,24,2026,79,83,25500000.0,55000.0,50,83,79,76,77,76,63,48,56,77,75,75,71,74,68,78,84,78,88,73,61,24,79,68,75,71,27,27,25,12,9,14,13,6
E. Buendía,25,2026,80,81,25000000.0,84000.0,78,74,75,83,68,83,81,74,79,84,75,68,80,77,87,77,75,71,63,73,83,60,75,85,62,77,67,68,61,11,10,13,7,9
A. Martial,26,2024,80,81,25000000.0,125000.0,70,79,70,78,76,87,84,54,60,85,82,79,79,78,79,82,70,57,74,73,54,34,78,77,80,82,26,33,31,9,8,8,15,11
J. Bowen,25,2025,80,81,25000000.0,73000.0,79,80,64,76,69,82,71,70,67,81,79,77,79,79,83,74,65,79,63,76,57,37,80,75,70,77,49,40,36,14,8,14,10,7
L. Blas,24,2024,79,83,25000000.0,28000.0,73,72,58,80,77,85,77,69,75,82,78,69,79,76,76,81,66,74,63,83,55,66,74,78,83,84,47,64,59,12,9,14,14,15
Fábio Vieira,22,2027,77,85,23500000.0,62000.0,73,69,46,79,65,78,74,68,76,79,76,74,76,71,69,73,47,62,48,74,51,33,73,82,69,75,41,42,35,9,5,15,13,6
Tetê,22,"Jun 30, 2023",77,86,23500000.0,1000.0,70,75,56,76,55,81,66,70,68,79,80,83,83,74,75,74,60,71,56,69,44,41,71,70,72,77,42,38,27,7,11,5,9,11
B. Dia,25,"Jun 30, 2023",79,82,23500000.0,39000.0,50,82,75,74,71,78,56,49,54,78,79,86,74,76,70,79,76,73,83,69,62,23,80,65,81,75,28,17,14,11,10,15,14,10
G. Plata,21,2027,77,86,23500000.0,18000.0,70,68,44,72,71,82,77,54,59,82,90,87,90,75,82,73,58,61,68,66,62,40,75,73,62,77,43,46,38,13,8,14,10,12
L. Trossard,27,2027,80,80,23000000.0,95000.0,77,80,65,77,76,83,83,69,74,82,88,76,92,78,85,80,78,76,60,79,47,18,79,78,75,83,30,31,18,14,8,11,7,7
N. Madueke,20,2030,77,86,23000000.0,72000.0,65,72,42,71,67,85,75,63,64,81,92,89,84,74,80,73,76,64,64,72,53,31,67,69,61,71,42,32,37,5,13,6,12,15
H. Elliott,19,2027,77,87,23000000.0,49000.0,75,64,40,78,60,81,61,57,70,79,79,72,87,72,87,63,40,74,40,64,48,41,79,80,59,76,44,43,35,10,10,6,14,7
Raúl de Tomás,27,2027,80,80,23000000.0,29000.0,66,80,78,79,77,80,74,74,76,79,76,74,80,82,75,81,80,74,75,79,79,35,80,77,84,78,36,35,32,6,11,13,7,14
G. Scamacca,23,2027,78,84,22500000.0,63000.0,44,80,82,74,79,74,69,68,68,79,65,75,63,76,68,81,82,65,85,73,55,26,81,70,68,78,40,28,20,12,10,11,7,12
C. Baumgartner,22,2025,78,84,22500000.0,32000.0,62,76,70,78,74,82,65,52,76,79,82,70,81,77,79,73,69,69,49,65,62,34,77,80,65,75,31,54,49,10,11,9,14,11
M. Pašalić,27,2025,80,80,22500000.0,56000.0,68,80,65,81,73,82,69,59,79,86,72,77,74,74,54,78,70,83,75,76,76,72,84,77,61,77,61,72,64,11,13,13,13,14
M. Zaccagni,27,2025,80,80,22500000.0,61000.0,72,75,66,78,74,85,67,51,75,85,87,84,88,78,87,78,46,77,63,76,61,58,78,77,61,83,55,58,52,13,16,14,8,7
L. Ocampos,27,2024,80,80,22500000.0,36000.0,77,79,77,79,81,83,80,65,72,82,79,81,78,80,61,83,80,89,81,77,81,70,81,77,79,81,58,57,55,11,8,15,12,7
M. Olise,20,2026,78,84,22000000.0,46000.0,77,71,36,78,58,83,78,70,76,82,81,79,91,73,87,74,51,68,46,68,66,48,69,78,67,74,52,56,46,9,11,9,10,10
A. Kramarić,31,2025,81,81,22000000.0,50000.0,73,80,69,81,79,82,79,77,65,83,75,68,83,83,86,82,73,76,69,78,71,21,81,79,90,79,35,20,26,8,14,14,7,15
Dani Ceballos,25,2023,79,81,22000000.0,130000.0,74,68,41,82,62,83,77,67,79,84,69,60,79,77,78,76,50,76,60,75,75,72,78,79,55,81,66,71,69,12,15,16,7,13
H. Traorè,22,"Jun 30, 2023",77,84,21500000.0,29000.0,70,71,64,74,66,83,70,67,70,81,83,79,84,73,73,74,72,65,60,67,59,50,73,74,64,67,60,60,61,8,10,14,12,11
P. Wimmer,21,2027,77,84,21500000.0,36000.0,71,68,44,74,57,83,54,50,63,78,85,80,84,74,78,77,75,83,72,66,60,48,76,76,52,68,53,47,45,12,13,9,14,13
