name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
J. Koundé,23,2027,84,89,59500000.0,150000.0,62,47,80,81,32,72,42,26,75,76,85,83,71,85,74,48,88,78,80,40,75,86,47,62,43,82,85,85,83,11,10,8,14,13
N. Süle,26,2026,85,87,59000000.0,72000.0,48,33,84,79,49,60,43,38,77,64,60,84,34,82,44,78,60,65,94,62,86,81,42,66,32,82,83,89,87,15,7,14,7,15
A. Bastoni,23,2024,84,89,57500000.0,75000.0,70,26,82,78,35,73,53,36,82,76,68,77,58,86,57,49,75,81,82,37,84,87,39,69,47,84,87,88,82,11,5,9,11,12
R. James,22,2028,84,88,57000000.0,120000.0,88,69,76,83,67,83,83,76,78,82,79,81,72,83,88,83,75,77,85,69,77,79,78,82,62,84,81,84,80,8,12,7,13,11
A. Rüdiger,29,2026,86,86,57000000.0,230000.0,68,40,82,80,34,64,50,56,78,72,72,91,56,84,50,77,84,71,90,67,92,83,49,61,40,78,87,87,84,14,15,10,12,8
J. Gvardiol,20,2027,82,89,56000000.0,44000.0,61,42,78,76,54,75,59,59,74,76,80,77,68,79,65,76,88,79,84,56,86,82,58,65,61,75,79,84,84,5,8,6,9,11
D. Alaba,30,2026,86,86,55500000.0,220000.0,83,63,77,89,67,77,77,85,80,85,79,79,76,88,78,82,81,74,78,78,78,87,73,78,79,85,89,84,83,5,7,14,15,9
F. Tomori,24,2027,84,88,54500000.0,75000.0,56,33,83,73,32,61,38,40,65,66,80,90,74,84,71,56,83,73,84,45,83,85,37,48,27,81,86,89,82,,,,,
Nuno Mendes,20,2026,81,89,54000000.0,58000.0,78,45,70,78,54,78,66,59,72,79,90,89,81,78,83,80,70,80,73,63,74,77,77,72,45,75,76,78,76,7,8,8,12,15
A. Hakimi,23,2026,84,87,53500000.0,90000.0,84,75,68,81,74,79,77,74,73,82,91,93,82,81,78,80,79,92,72,73,75,78,78,77,60,72,75,76,76,10,8,14,6,8
W. Saliba,21,2024,83,89,53000000.0,73000.0,58,37,72,83,34,72,55,35,76,80,78,86,50,83,59,60,74,69,87,23,83,85,43,62,47,81,85,87,83,7,10,6,8,11
E. Camavinga,19,2027,81,89,52500000.0,75000.0,76,62,64,84,59,80,72,59,81,85,78,79,81,79,79,73,70,81,80,69,78,77,73,77,62,82,75,80,79,12,6,8,12,12
R. Araujo,23,2026,83,89,52000000.0,135000.0,58,56,85,76,38,55,47,45,66,66,72,85,56,81,55,61,87,74,86,35,84,81,56,59,43,76,82,84,84,11,14,9,11,8
S. Botman,22,2027,83,88,50500000.0,95000.0,43,24,81,79,27,63,47,28,76,72,54,75,57,83,34,65,81,73,90,37,86,82,45,59,37,77,84,84,84,12,9,8,6,14
L. Martínez,24,2027,83,88,49500000.0,115000.0,75,52,75,82,56,76,77,55,83,79,77,72,78,85,84,73,91,81,81,64,91,84,62,76,55,87,85,85,84,6,14,13,14,8
C. Romero,24,2027,83,88,49500000.0,95000.0,42,48,83,74,52,60,54,38,64,68,73,72,67,83,68,51,85,72,82,36,92,83,43,50,40,82,86,86,85,5,7,11,10,14
M. Škriniar,27,2023,85,85,49500000.0,95000.0,40,42,80,72,40,64,34,30,73,70,75,81,54,87,56,50,82,80,89,30,85,85,30,46,56,87,88,90,81,10,13,12,8,12
I. Konaté,23,2026,81,88,48000000.0,90000.0,38,29,79,75,28,67,32,27,69,69,68,85,60,75,54,45,75,65,90,31,82,82,37,51,41,74,80,85,79,9,7,9,9,15
D. Upamecano,23,2026,83,87,47000000.0,64000.0,48,39,82,77,27,71,32,28,72,75,76,89,63,82,67,64,87,65,88,42,89,79,47,58,39,74,80,86,85,,,,,
M. Acuña,30,2024,85,85,46500000.0,46000.0,86,66,61,85,67,87,88,75,77,86,77,76,83,85,90,83,63,91,82,81,84,81,80,82,76,87,81,85,84,8,14,13,13,14
Pedro Porro,22,"Jun 30, 2023",82,88,46000000.0,16000.0,82,68,68,75,60,81,78,67,74,83,80,84,78,78,71,83,59,91,74,75,74,76,80,77,66,78,74,78,75,15,7,14,5,7
J. Frimpong,21,2025,82,88,46000000.0,44000.0,83,62,49,75,43,86,77,47,61,81,96,93,91,76,90,53,72,85,61,48,74,76,76,78,39,76,75,78,75,12,7,8,13,14
Pau Torres,25,2024,83,87,45500000.0,43000.0,55,28,85,80,41,64,45,28,78,79,70,76,68,80,52,58,80,80,82,40,79,83,42,67,42,73,84,85,83,11,13,13,13,9
R. Varane,29,2025,85,85,45000000.0,170000.0,42,46,85,78,42,61,46,52,76,76,77,83,62,86,39,52,80,65,86,53,78,85,55,59,43,82,88,87,83,11,11,9,5,14
Marcos Llorente,27,2027,84,84,45000000.0,81000.0,73,80,67,84,66,82,75,63,80,84,85,90,82,82,68,84,69,90,77,77,80,81,82,82,65,81,79,79,74,13,6,6,11,15
L. Hernández,26,2024,84,85,43500000.0,82000.0,78,53,82,77,46,65,59,39,63,76,75,78,70,84,69,62,85,73,78,51,90,83,62,63,42,77,85,85,83,10,7,8,14,10
Bremer,25,2027,83,86,43000000.0,115000.0,46,49,85,69,38,62,42,24,69,65,77,83,65,79,66,68,82,76,85,39,82,84,58,45,43,78,83,87,83,13,15,13,5,6
N. Schlotterbeck,22,2027,82,87,42500000.0,47000.0,48,51,84,75,51,73,49,38,81,72,79,78,68,82,66,75,78,73,83,63,82,83,57,68,38,77,83,86,82,8,10,8,14,13
Y. Carrasco,28,2024,84,84,42500000.0,85000.0,80,81,55,80,74,89,86,80,74,85,87,88,86,79,70,84,71,75,61,82,65,47,80,80,79,84,46,64,61,9,11,9,10,10
P. Kimpembe,26,2024,83,86,42000000.0,95000.0,59,33,80,80,33,63,50,32,75,78,79,80,68,80,59,70,79,79,88,37,90,84,47,64,52,79,81,86,84,7,8,14,15,9
R. Le Normand,25,2026,82,87,40500000.0,39000.0,35,19,85,78,38,52,34,25,67,72,60,67,41,82,51,40,85,71,86,22,72,82,21,32,34,73,84,86,80,9,13,14,15,10
Gabriel,24,2027,82,86,39500000.0,80000.0,38,31,85,78,28,52,47,27,74,67,61,73,51,83,37,51,70,71,87,30,84,82,44,59,40,74,83,84,81,,,,,
N. Mazraoui,24,2026,82,85,38500000.0,59000.0,79,69,65,83,56,83,69,42,76,84,83,79,86,78,69,68,69,85,70,61,69,80,80,77,44,79,75,78,80,12,7,13,12,12
J. Giménez,27,2025,83,85,38500000.0,68000.0,47,37,82,71,34,55,37,44,68,66,70,71,55,78,56,73,89,72,85,48,87,84,25,46,40,75,87,85,85,9,11,7,10,15
F. Mendy,27,2025,83,84,38000000.0,170000.0,78,63,72,82,50,77,72,45,79,76,91,92,81,82,79,69,79,90,83,64,82,79,80,75,49,78,77,81,80,7,16,9,10,9
Carvajal,30,2025,84,84,36500000.0,185000.0,82,51,70,82,49,78,76,47,74,83,80,84,78,79,82,68,77,85,74,47,85,78,75,72,45,80,76,81,82,13,13,15,9,15
J. Stones,28,2026,83,84,34500000.0,150000.0,62,53,84,84,44,73,52,37,76,83,68,76,66,82,59,55,83,73,79,44,81,83,52,67,52,82,85,86,84,7,15,11,10,8
M. Ginter,28,2026,83,84,34500000.0,43000.0,68,55,83,78,53,61,44,42,78,75,54,60,55,85,49,79,77,75,84,46,72,83,55,72,67,76,85,86,78,12,10,6,8,10
B. Pavard,26,2024,82,84,33500000.0,69000.0,74,49,84,79,78,68,63,51,76,75,68,72,66,81,66,80,87,81,78,70,74,83,60,66,51,78,83,86,83,9,7,15,7,15
G. Mancini,26,2027,82,84,33500000.0,73000.0,34,48,83,67,40,55,38,34,68,76,59,73,34,80,57,51,89,87,83,34,94,82,32,51,47,80,82,84,78,13,12,8,6,8
A. Christensen,26,2026,82,84,33500000.0,145000.0,51,36,80,83,25,67,41,39,79,78,59,76,61,84,60,37,79,74,78,20,75,86,32,62,36,79,86,85,83,10,12,8,6,8
W. Fofana,21,2028,79,86,33000000.0,67000.0,39,29,74,70,40,61,39,38,66,67,69,80,61,76,58,48,78,67,80,37,79,84,42,47,48,70,79,82,80,14,12,9,14,6
L. Shaw,26,2027,82,83,33000000.0,120000.0,85,46,76,84,65,78,86,67,77,84,74,78,72,79,78,78,85,75,79,56,85,82,79,80,38,85,81,83,79,10,12,13,7,7
R. Guerreiro,28,2023,83,83,33000000.0,63000.0,85,77,44,89,79,87,85,82,85,89,79,58,90,88,90,79,52,78,49,84,45,85,79,85,54,86,79,78,77,12,6,8,11,8
E. Tapsoba,23,2026,81,85,33000000.0,49000.0,39,57,82,80,33,66,54,32,78,74,74,67,66,79,64,74,78,75,83,30,75,83,34,66,77,81,82,85,77,5,10,13,7,15
M. Simakan,22,2027,79,86,33000000.0,43000.0,60,39,77,70,28,67,55,32,69,68,70,76,63,76,61,61,77,74,82,33,79,81,54,63,47,74,76,86,76,8,6,6,11,15
P. Kalulu,22,2027,79,86,33000000.0,51000.0,70,43,76,78,44,64,65,44,65,74,77,83,69,78,69,66,78,72,76,51,77,78,60,59,49,77,80,82,79,,,,,
G. Di Lorenzo,28,2026,83,83,33000000.0,72000.0,80,66,72,77,60,78,69,69,74,79,85,85,78,80,78,72,83,90,78,69,78,80,71,66,59,77,80,82,77,8,10,8,10,7
Ibañez,23,2025,81,85,33000000.0,58000.0,34,27,79,63,29,45,32,35,40,75,85,82,69,85,62,45,69,85,77,25,83,86,32,34,46,74,80,83,87,12,7,10,6,12
E. Can,28,2024,83,83,32000000.0,63000.0,64,74,81,83,73,81,77,64,83,79,67,88,70,83,75,85,87,84,86,80,92,80,72,76,70,83,79,86,80,14,8,8,13,11
P. Hincapié,20,2027,79,86,32000000.0,36000.0,55,40,78,78,29,70,56,32,74,73,79,86,73,78,65,50,80,74,78,27,80,77,55,53,33,76,79,79,84,9,15,10,6,9
B. Chilwell,25,2027,81,84,31500000.0,100000.0,84,58,69,80,65,79,71,67,74,81,77,75,69,80,72,74,86,80,69,47,73,76,78,75,52,75,78,79,80,10,7,14,7,10
M. Akanji,26,2027,82,83,31500000.0,130000.0,55,38,79,82,42,71,54,59,80,75,75,79,69,82,67,75,84,71,82,48,77,82,37,65,40,78,83,85,82,,,,,
Diogo Dalot,23,2024,80,86,31000000.0,90000.0,77,52,74,80,44,80,79,52,72,78,77,86,77,78,71,79,86,82,76,68,81,76,77,78,47,77,73,77,77,10,6,10,6,8
K. Trippier,31,2025,84,84,30500000.0,120000.0,88,54,79,84,58,76,87,87,84,83,75,66,66,84,79,82,80,86,64,71,75,82,77,84,66,82,80,83,81,11,14,8,11,10
S. de Vrij,30,2023,83,83,30000000.0,80000.0,49,25,83,74,27,66,45,36,71,72,66,68,61,83,59,65,80,74,78,60,77,87,31,70,41,85,87,86,84,8,10,7,14,13
M. Guéhi,21,2026,78,86,29500000.0,36000.0,35,42,76,76,32,65,42,32,75,72,68,77,68,80,65,49,70,70,79,26,73,79,35,54,38,74,81,79,78,8,9,11,12,12
Angeliño,25,"Jun 30, 2023",81,83,29500000.0,54000.0,87,70,63,80,63,83,83,76,80,81,85,67,85,79,85,80,72,84,60,67,77,78,77,77,55,79,76,74,74,13,6,13,13,13
Gayà,27,2027,82,82,29500000.0,44000.0,79,61,58,79,58,77,80,49,75,80,81,83,82,83,80,62,53,87,67,59,76,80,75,75,60,76,79,81,82,13,10,9,12,9
K. Koulibaly,31,2026,84,84,29000000.0,140000.0,50,43,81,71,48,70,53,39,69,72,68,88,48,83,33,67,81,68,92,38,83,83,50,65,50,82,86,85,83,7,11,7,13,5
K. Walker,32,2024,84,84,29000000.0,155000.0,77,51,72,80,57,79,76,71,81,81,85,94,66,85,69,86,83,83,80,69,84,78,68,69,63,75,75,84,83,12,6,16,15,8
S. Savić,31,2024,84,84,29000000.0,74000.0,36,34,84,72,27,47,34,30,71,66,60,68,58,82,52,45,86,71,82,31,86,86,29,55,37,80,90,86,83,14,13,14,13,12
B. White,24,2026,80,84,28000000.0,69000.0,58,22,74,82,21,74,45,20,80,77,71,73,63,82,58,50,79,78,77,25,78,83,43,71,24,80,82,83,80,8,11,12,5,6
Cucurella,23,2028,80,84,28000000.0,85000.0,81,68,57,79,55,80,78,57,79,80,78,74,78,81,83,73,77,87,66,65,76,75,77,78,59,77,78,80,77,13,7,9,10,11
A. Romagnoli,27,2027,82,82,28000000.0,59000.0,36,30,78,75,28,68,35,24,69,75,69,69,55,80,53,63,81,68,84,46,82,84,31,45,34,77,86,86,81,9,14,12,8,9
N. Molina,24,2027,80,84,28000000.0,46000.0,79,67,62,78,62,76,68,44,69,78,84,86,81,80,76,70,75,86,61,67,74,77,77,75,45,72,76,75,73,,,,,
Jordi Alba,33,2024,85,85,28000000.0,190000.0,86,73,70,86,75,79,82,63,81,84,86,83,87,79,84,64,80,83,61,66,75,80,83,78,59,80,74,78,79,13,15,13,6,13
D. Dumfries,26,2025,81,82,27500000.0,68000.0,77,67,84,76,38,72,69,35,71,76,77,87,69,81,60,68,90,92,89,54,83,78,76,59,48,74,76,79,77,10,10,7,13,14
K. Tierney,25,2024,80,84,27000000.0,77000.0,83,52,59,78,38,79,72,56,68,77,79,81,76,80,77,79,81,77,74,66,84,77,75,74,42,75,78,79,78,13,16,8,12,13
B. Badiashile,21,2030,78,85,26500000.0,61000.0,48,38,79,78,31,58,56,34,77,67,54,66,42,77,35,70,78,64,84,47,69,79,47,68,46,75,79,80,76,8,7,5,15,8
F. Dimarco,24,2026,80,83,26500000.0,54000.0,83,69,49,79,77,77,82,79,78,82,79,77,74,79,84,69,64,81,65,76,68,75,81,77,66,69,74,76,74,9,8,12,7,7
Luiz Felipe,25,2027,80,84,26500000.0,26000.0,53,22,73,73,32,69,31,35,68,71,71,75,65,79,46,44,80,55,80,26,82,83,28,58,44,64,83,81,82,14,8,13,10,9
Mario Hermoso,27,2024,81,82,26000000.0,57000.0,71,42,82,81,41,67,68,55,77,76,72,78,70,77,60,66,83,74,80,47,84,80,63,66,45,77,81,82,80,13,8,10,5,8
Yeray,27,2026,81,82,26000000.0,33000.0,54,42,75,78,55,57,58,51,79,74,61,68,55,83,73,69,90,68,77,43,83,86,39,62,61,79,83,83,82,12,9,8,12,11
Diego Carlos,29,2026,82,82,25500000.0,100000.0,35,32,79,76,34,65,47,71,74,71,67,76,62,81,50,73,82,53,87,57,85,82,52,63,41,75,83,80,81,7,10,14,7,11
W. Orban,29,2025,82,82,25500000.0,65000.0,39,38,85,71,31,52,28,32,58,58,50,60,48,77,56,37,91,68,85,29,83,82,42,44,41,72,85,85,81,15,12,15,10,6
D. Calabria,25,2025,80,83,25500000.0,60000.0,77,48,64,74,60,74,74,48,70,76,80,78,81,78,81,68,72,82,65,71,80,79,51,64,48,78,81,81,78,8,14,15,12,7
G. Kondogbia,29,2024,81,81,25000000.0,65000.0,64,69,77,82,62,75,64,66,81,80,68,70,73,84,57,87,79,88,91,84,85,86,79,81,53,81,81,81,80,,,,,
O. Zinchenko,25,2027,80,82,24500000.0,77000.0,83,58,70,86,61,83,82,76,83,85,73,62,78,80,78,78,72,75,63,73,75,79,77,82,58,83,78,81,79,15,11,13,11,11
N. Aguerd,26,2027,80,83,24500000.0,70000.0,48,40,81,76,41,58,55,41,72,75,65,79,58,80,56,69,89,67,76,54,77,81,52,60,48,73,78,83,78,7,15,9,14,6
J. Todibo,22,2027,79,84,24500000.0,37000.0,49,44,80,78,35,66,52,41,70,72,68,81,55,76,55,60,76,73,81,45,72,80,45,56,52,78,80,80,78,7,13,11,8,13
E. Ndicka,22,2023,79,84,24500000.0,26000.0,68,49,80,79,43,72,59,30,78,76,74,75,54,80,55,65,82,76,81,54,78,78,68,73,33,81,79,80,77,,,,,
D. Raum,24,2027,79,84,24500000.0,43000.0,86,57,59,73,52,79,81,63,71,77,86,85,77,76,77,64,63,87,76,65,69,75,59,78,49,75,72,74,74,,,,,
Aritz Elustondo,28,2024,81,82,24500000.0,40000.0,72,35,81,82,37,48,53,41,65,77,61,67,59,84,56,44,86,71,78,42,83,82,38,32,43,77,81,80,79,7,10,12,15,8
David García,28,2026,81,82,24500000.0,36000.0,61,35,85,81,37,60,40,38,72,77,60,61,45,75,57,47,90,69,80,25,82,80,51,52,44,67,80,82,83,11,16,7,7,8
J. Foyth,24,2026,79,84,24500000.0,29000.0,70,43,75,76,43,69,61,47,69,77,71,73,69,76,71,56,73,73,78,42,79,79,53,65,47,67,80,82,79,8,15,7,14,9
T. Malacia,22,2026,79,83,24000000.0,86000.0,70,50,58,76,59,78,60,48,65,74,82,83,84,74,90,65,86,83,72,62,82,77,57,60,46,74,72,81,81,9,9,12,8,8
A. Disasi,24,2025,79,84,24000000.0,43000.0,25,46,80,69,36,54,45,27,64,63,46,58,31,79,34,67,72,72,92,41,78,80,42,54,36,71,80,80,75,12,8,11,8,6
P. Estupiñán,24,2027,79,83,23500000.0,55000.0,80,48,75,79,38,76,59,36,62,74,78,79,74,74,73,41,72,76,75,42,74,76,60,60,69,69,72,80,79,14,7,14,7,7
Caio Henrique,24,2027,79,83,23500000.0,43000.0,85,54,62,78,52,78,80,72,70,81,80,81,73,78,74,64,69,82,59,60,69,75,75,77,48,80,73,76,75,,,,,
N. Mukiele,24,2027,79,83,23500000.0,61000.0,71,40,72,72,39,72,69,33,70,74,77,79,67,72,65,67,90,79,79,52,83,81,60,64,45,72,79,83,81,10,7,14,11,15
R. Baku,24,2025,79,83,23500000.0,40000.0,79,74,49,76,63,83,79,48,71,78,84,82,85,78,90,77,73,91,73,73,74,75,76,75,60,76,74,74,75,12,8,7,10,9
Kim Min Jae,25,2025,80,82,23500000.0,52000.0,35,23,78,73,24,57,36,23,69,66,75,84,65,78,65,51,80,77,88,37,84,78,48,57,30,72,81,82,80,13,7,11,14,11
C. Smalling,32,2023,83,83,23500000.0,80000.0,52,54,86,65,49,59,49,22,64,65,52,71,54,83,43,42,80,75,85,35,84,84,51,56,52,88,86,88,85,10,15,16,15,15
J. Gomez,25,2027,79,84,23000000.0,89000.0,71,20,74,78,24,69,46,29,68,74,75,87,63,78,65,41,76,64,83,22,79,79,51,62,26,72,77,80,79,8,13,14,7,7
J. Tah,26,2025,80,82,23000000.0,53000.0,35,32,83,75,33,60,37,27,68,66,55,77,46,77,40,60,70,78,92,26,79,80,33,56,38,74,79,83,80,11,8,7,9,14
E. Konsa,24,2026,79,83,22500000.0,65000.0,51,34,78,74,35,70,37,38,72,74,71,82,63,80,69,58,78,72,78,32,75,79,50,58,38,79,83,80,79,14,8,11,13,9
N. Tagliafico,29,2025,81,81,22500000.0,72000.0,75,57,82,76,44,73,66,40,75,76,79,79,77,81,82,65,88,86,75,46,84,79,69,69,46,76,80,79,80,13,9,10,15,16
C. Mbemba,27,2025,80,82,22500000.0,43000.0,64,55,79,74,37,65,39,28,68,69,73,77,67,79,64,76,90,77,82,42,81,78,64,63,41,73,80,82,80,9,14,16,7,7
L. Spinazzola,29,2024,81,81,22500000.0,71000.0,82,60,69,78,59,80,66,45,64,80,93,90,80,79,69,68,69,72,66,68,71,78,77,72,59,69,78,78,75,11,13,12,15,14
F. Parisi,21,2025,77,87,22500000.0,9000.0,77,60,50,74,65,79,72,70,71,76,80,80,77,75,78,78,59,80,73,74,73,73,69,56,55,72,75,75,74,11,10,11,13,9
Saúl,27,2026,80,80,22500000.0,58000.0,69,73,80,80,76,79,73,61,79,80,68,69,72,78,67,80,80,75,75,78,75,78,77,80,68,80,76,77,76,7,13,12,10,9
M. Cash,24,2027,79,82,22000000.0,65000.0,77,67,49,73,48,75,66,48,71,74,79,80,78,78,74,77,77,87,68,64,82,76,71,67,44,72,77,77,78,15,16,13,13,8
A. Wan-Bissaka,24,2024,79,82,22000000.0,86000.0,70,44,48,73,43,76,71,45,54,70,77,87,79,77,66,70,67,72,68,44,74,82,66,60,44,72,73,82,90,9,8,6,8,8
Renan Lodi,24,"Jun 30, 2023",79,82,22000000.0,43000.0,79,65,70,75,59,77,81,57,75,77,82,81,84,76,82,76,78,82,67,68,77,74,74,72,55,76,73,76,79,,,,,
M. van de Ven,21,2027,77,85,22000000.0,28000.0,58,37,78,69,47,67,37,34,73,71,76,91,59,68,49,48,68,69,84,51,79,78,48,46,39,68,76,79,78,7,13,13,11,7
Danilo,30,2025,81,81,22000000.0,100000.0,76,59,79,77,69,73,73,73,76,79,68,77,63,80,65,82,75,75,79,69,79,84,69,64,67,82,84,83,81,14,5,15,14,5
M. Olivera,24,2027,79,82,22000000.0,44000.0,76,49,71,74,38,74,67,41,66,78,73,76,66,78,41,56,74,79,74,48,80,78,64,62,42,70,76,78,76,,,,,
Unai Núñez,25,"Jun 30, 2023",79,83,22000000.0,28000.0,34,18,80,77,21,40,27,22,55,70,65,74,34,78,58,44,79,68,82,17,79,77,26,34,31,62,79,80,81,9,9,15,6,11
Zubeldia,25,2029,79,83,22000000.0,32000.0,65,62,72,81,47,71,73,65,77,73,69,77,75,80,74,75,83,81,80,60,86,83,63,72,51,73,81,79,75,6,8,9,10,13
M. Thiaw,20,2027,77,85,21500000.0,36000.0,49,43,74,72,44,62,52,44,65,68,72,76,67,77,60,56,78,65,79,46,76,78,42,55,64,71,77,78,77,10,6,15,11,9
D. Udogie,19,"Jun 30, 2023",77,86,21500000.0,36000.0,76,64,64,74,58,76,59,51,64,78,86,89,80,74,70,71,62,79,75,59,76,68,69,60,46,64,68,73,70,,,,,
N. Milenković,24,2027,79,82,21500000.0,45000.0,66,38,83,69,35,60,43,29,66,70,67,62,50,76,34,60,73,79,84,54,84,78,25,55,34,78,78,81,78,8,7,13,7,14
Reguilón,25,"Jun 30, 2023",79,82,21500000.0,77000.0,79,53,72,78,43,78,73,43,71,78,83,82,76,76,74,69,64,73,65,58,75,77,76,73,42,74,76,78,75,11,14,9,5,12
J. Matip,30,2024,81,81,21000000.0,105000.0,54,36,83,76,50,73,63,23,72,73,53,69,55,83,42,66,76,67,80,48,82,82,48,72,42,79,83,84,80,11,15,10,7,10
N. Aké,27,2025,80,81,21000000.0,110000.0,63,48,80,80,52,70,64,59,74,76,79,72,67,79,68,64,87,71,80,56,78,79,51,66,53,78,81,84,81,,,,,
F. Schär,30,2024,81,81,21000000.0,90000.0,65,60,82,80,61,73,66,66,84,75,53,55,53,82,65,79,79,73,80,73,78,85,62,74,75,81,84,84,80,8,9,11,10,15
C. Lukeba,19,2025,77,85,21000000.0,27000.0,59,41,73,77,42,70,54,26,73,73,74,84,69,78,64,55,75,74,78,38,76,78,44,67,39,80,78,79,79,,,,,
Danilo Pereira,30,2025,81,81,21000000.0,81000.0,56,57,83,80,55,73,54,53,77,75,47,63,53,80,49,75,76,83,89,67,81,79,70,70,57,77,80,81,69,,,,,
Balde,18,2024,77,87,21000000.0,29000.0,76,51,63,78,32,75,56,28,65,77,90,91,81,70,74,53,45,75,63,39,47,68,63,72,41,64,66,74,75,,,,,
Iñigo Martínez,31,2023,82,82,21000000.0,35000.0,53,42,81,75,37,48,72,55,80,74,70,73,67,81,60,81,91,69,82,74,86,83,52,55,39,70,82,82,85,12,16,11,13,11
R. Bensebaini,27,2023,80,80,20500000.0,33000.0,79,73,81,77,57,79,67,62,68,79,72,83,65,79,67,70,84,77,78,65,80,76,66,63,85,74,76,81,80,6,13,14,7,14
R. Gosens,27,"Jun 30, 2023",80,80,20500000.0,51000.0,80,78,79,78,69,78,69,58,75,80,78,82,71,79,66,76,90,84,76,68,80,76,79,67,55,77,73,77,76,7,16,15,16,10
Edgar,25,2025,79,82,20500000.0,25000.0,50,52,73,76,37,60,32,30,73,73,64,67,51,80,44,54,56,79,77,46,82,83,52,72,32,70,84,83,78,7,14,7,12,8
Javi Galán,27,2026,80,80,20500000.0,28000.0,82,50,74,81,51,85,72,70,77,84,80,82,75,74,76,72,69,77,64,56,82,70,66,60,48,68,72,83,82,14,14,10,6,8
T. Tomiyasu,23,2026,78,83,20000000.0,59000.0,65,29,74,75,30,69,48,37,70,74,76,72,69,78,70,42,70,77,80,28,78,78,58,63,37,72,81,81,79,,,,,
K. Danso,23,2026,78,84,20000000.0,27000.0,44,26,82,69,31,59,35,31,58,68,69,88,57,73,48,49,82,75,90,25,82,73,33,52,42,71,74,82,77,12,13,6,11,15
N. Casale,24,2027,78,84,20000000.0,38000.0,69,47,76,72,47,70,60,44,63,69,74,78,60,78,60,72,75,67,84,48,80,78,54,63,52,77,81,79,77,14,8,13,13,9
Nacho Fernández,32,2023,82,82,20000000.0,155000.0,70,32,79,84,38,64,55,37,67,78,69,79,65,81,75,54,84,80,79,28,80,83,37,53,45,75,83,83,81,12,7,10,15,7
Vinicius Souza,23,2025,77,84,20000000.0,16000.0,45,38,73,72,30,68,48,43,72,71,65,68,63,76,46,80,66,80,83,57,80,83,29,62,36,63,75,81,78,14,14,9,13,8
