name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
T. Hernández,24,2026,85,90,76000000.0,82000.0,84,69,74,79,66,83,69,64,68,79,92,94,78,85,76,83,68,90,81,72,82,78,80,73,50,80,74,81,80,12,10,7,7,7
M. Rashford,24,2024,85,88,73500000.0,170000.0,77,86,76,79,74,86,84,77,72,84,86,92,82,85,74,93,76,76,74,80,69,39,85,79,85,82,40,38,33,11,6,15,7,14
João Cancelo,28,"Jun 30, 2023",87,87,72000000.0,210000.0,87,69,72,87,62,85,87,69,79,86,86,84,79,84,78,80,72,91,62,79,76,81,81,85,52,85,79,83,79,6,9,15,14,14
S. Milinković-Savić,27,2024,86,86,72000000.0,90000.0,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7
T. Kroos,32,2023,88,88,72000000.0,310000.0,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,89,32,75,72,86,60,80,76,89,73,88,71,73,60,10,11,13,7,10
P. Dybala,28,2025,86,86,69500000.0,130000.0,82,83,58,86,88,90,89,88,79,93,84,76,88,79,90,84,74,73,60,89,43,42,82,91,87,79,32,41,39,5,4,4,5,8
N. Barella,25,2026,85,87,67000000.0,100000.0,79,76,53,86,80,81,79,67,83,87,79,78,90,88,90,77,78,94,73,79,84,83,83,83,73,86,80,79,81,11,5,13,14,11
K. Coman,26,2027,85,86,63500000.0,100000.0,81,75,61,80,78,88,83,70,74,87,94,89,92,85,84,83,73,69,66,73,35,23,83,81,68,78,29,27,21,5,3,5,3,5
M. Diaby,22,2025,84,88,61500000.0,70000.0,76,80,28,80,67,88,71,42,72,85,95,94,92,76,93,73,62,82,44,64,67,48,79,77,48,75,48,35,46,8,9,8,8,14
A. Davies,21,2025,84,89,60500000.0,59000.0,85,64,70,82,59,85,72,44,71,84,96,94,86,84,84,74,78,81,75,63,77,78,77,77,58,78,74,76,76,11,11,6,5,14
K. Havertz,23,2025,83,89,57500000.0,120000.0,74,81,80,83,80,85,84,53,79,85,76,85,76,84,73,76,75,77,69,78,52,38,83,82,73,84,39,46,38,6,8,11,10,12
A. Griezmann,31,2026,86,86,57500000.0,105000.0,82,87,83,84,85,86,87,85,81,88,80,80,88,87,83,84,87,86,69,86,74,57,89,87,79,89,45,63,60,14,8,14,13,14
Bruno Guimarães,24,2026,84,87,57000000.0,115000.0,69,70,63,86,66,85,79,62,85,85,69,69,77,85,86,77,63,87,79,75,82,84,78,85,65,87,80,83,79,7,11,15,11,11
L. Goretzka,27,2026,85,85,57000000.0,100000.0,75,82,86,86,71,84,76,73,83,85,78,78,75,85,73,85,80,83,88,86,82,83,85,84,60,82,74,83,78,13,8,15,11,9
N. Kanté,31,2023,87,87,56000000.0,175000.0,68,64,54,80,56,78,49,49,75,81,77,68,78,90,92,71,75,90,72,65,90,87,72,77,54,84,88,92,85,15,12,10,7,10
S. Tonali,22,2027,84,87,53500000.0,75000.0,78,69,70,84,68,78,75,81,81,83,81,86,81,82,83,82,65,85,81,83,84,81,75,78,64,84,81,81,75,13,9,8,7,7
A. Tchouaméni,22,2028,83,89,53500000.0,145000.0,68,65,74,84,50,78,76,53,83,80,75,72,73,83,70,78,74,83,81,75,80,84,74,82,55,83,81,81,78,9,8,12,12,7
Gerard Moreno,30,2027,85,85,53000000.0,64000.0,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10
E. Camavinga,19,2027,81,89,52500000.0,75000.0,76,62,64,84,59,80,72,59,81,85,78,79,81,79,79,73,70,81,80,69,78,77,73,77,62,82,75,80,79,12,6,8,12,12
E. Fernández,21,2031,81,88,52000000.0,86000.0,66,64,66,85,75,78,77,69,85,81,77,72,76,79,77,83,70,85,79,78,82,74,79,86,70,80,76,75,74,8,6,7,8,10
D. Rice,23,2024,84,87,52000000.0,83000.0,55,61,72,83,50,78,61,65,84,79,68,74,55,81,67,78,74,90,79,65,84,85,58,79,71,83,82,84,80,8,11,14,5,9
F. Chiesa,24,2025,84,85,52000000.0,125000.0,75,80,50,78,80,89,78,62,72,82,91,91,89,86,81,86,53,85,70,84,74,44,84,77,62,82,60,48,44,6,7,8,9,7
L. Díaz,25,2027,84,85,50500000.0,155000.0,76,80,62,76,74,89,75,58,71,87,92,91,88,83,75,84,73,84,69,82,70,25,81,77,63,83,28,38,34,10,13,13,14,14
J. Maddison,25,2024,84,85,50500000.0,115000.0,83,80,35,86,77,86,86,86,85,88,78,69,86,80,83,83,51,78,53,83,70,44,84,88,74,88,59,65,42,11,14,14,12,14
Gabriel Martinelli,21,2027,82,88,49000000.0,85000.0,75,83,72,77,74,89,72,65,55,83,91,88,86,81,82,77,55,82,63,67,80,37,80,78,60,77,44,44,43,10,6,7,6,6
Fabinho,28,2026,85,85,47500000.0,155000.0,75,63,75,84,47,78,71,53,82,81,54,65,61,84,64,81,75,85,80,70,84,84,70,76,90,85,82,85,83,13,12,6,8,8
I. Bennacer,24,2027,83,87,47500000.0,69000.0,74,67,62,85,64,86,79,73,83,85,84,76,87,83,89,85,78,82,69,74,86,81,75,81,68,84,76,82,79,9,12,10,16,15
F. Kessié,25,2026,84,86,47500000.0,165000.0,66,73,68,83,60,78,61,54,75,84,77,79,70,81,77,84,72,93,86,78,84,84,74,76,88,84,85,84,78,9,11,12,12,10
P. Højbjerg,26,2025,84,86,47000000.0,120000.0,68,68,65,84,64,79,70,74,84,80,56,54,65,85,67,85,65,87,78,82,88,83,69,75,56,85,84,85,73,9,7,12,11,11
Merino,26,2025,83,86,47000000.0,49000.0,77,79,86,84,58,83,80,69,82,85,73,73,75,84,73,84,81,84,80,78,83,84,78,81,70,80,80,84,76,9,12,9,13,14
M. Acuña,30,2024,85,85,46500000.0,46000.0,86,66,61,85,67,87,88,75,77,86,77,76,83,85,90,83,63,91,82,81,84,81,80,82,76,87,81,85,84,8,14,13,13,14
T. Partey,29,2024,85,85,46000000.0,130000.0,74,66,68,86,56,85,69,70,86,84,63,75,67,82,50,86,83,79,84,78,84,82,70,85,49,87,82,85,79,11,13,9,9,7
J. Grealish,26,2027,84,84,46000000.0,185000.0,82,76,48,85,72,88,78,74,81,89,79,78,85,81,86,76,47,83,71,79,65,49,81,87,58,88,55,52,48,11,6,11,10,13
Pedro Porro,22,"Jun 30, 2023",82,88,46000000.0,16000.0,82,68,68,75,60,81,78,67,74,83,80,84,78,78,71,83,59,91,74,75,74,76,80,77,66,78,74,78,75,15,7,14,5,7
S. Gnabry,26,2026,84,84,46000000.0,90000.0,77,85,42,82,83,85,74,62,73,82,84,79,85,81,88,87,55,75,69,82,63,38,85,81,70,82,45,44,43,14,10,10,9,7
L. Sané,26,2025,84,84,46000000.0,90000.0,81,80,72,82,84,86,84,83,70,85,88,92,87,82,81,86,64,70,66,80,63,34,81,81,71,82,36,32,35,8,12,9,9,14
J. Frimpong,21,2025,82,88,46000000.0,44000.0,83,62,49,75,43,86,77,47,61,81,96,93,91,76,90,53,72,85,61,48,74,76,76,78,39,76,75,78,75,12,7,8,13,14
Dani Olmo,24,2024,82,87,46000000.0,59000.0,78,74,43,84,76,86,72,75,79,86,77,60,86,83,86,79,55,77,54,77,51,57,82,83,66,82,50,50,44,15,15,13,12,11
Y. Tielemans,25,2023,83,85,45500000.0,105000.0,81,74,67,89,79,78,84,78,88,85,58,54,65,81,76,87,65,85,69,87,68,70,78,86,75,85,68,73,68,6,8,10,14,12
L. Pellegrini,26,2026,83,85,45000000.0,88000.0,74,75,74,88,74,80,74,79,83,87,79,79,80,85,82,79,70,90,74,76,74,72,80,87,80,84,73,76,73,12,7,10,13,11
D. Berardi,27,2027,84,84,45000000.0,62000.0,77,82,62,85,78,85,78,75,79,88,82,82,92,84,87,83,65,78,64,80,85,25,83,83,76,78,42,30,30,5,6,5,5,6
Marcos Llorente,27,2027,84,84,45000000.0,81000.0,73,80,67,84,66,82,75,63,80,84,85,90,82,82,68,84,69,90,77,77,80,81,82,82,65,81,79,79,74,13,6,6,11,15
R. Mahrez,31,2025,85,85,44500000.0,200000.0,80,80,56,83,76,89,85,80,75,90,84,77,91,83,88,82,56,75,57,82,48,39,84,83,74,81,45,31,22,15,9,13,11,6
J. Sancho,22,2026,82,86,44500000.0,130000.0,77,76,38,85,80,89,84,65,68,86,81,76,89,78,89,63,49,66,42,59,25,36,81,84,74,85,30,34,28,7,11,10,11,13
Thiago,31,2024,85,85,44000000.0,165000.0,78,68,54,90,81,89,84,77,88,91,69,55,90,80,90,75,86,74,60,73,80,81,74,87,75,88,68,75,74,6,11,7,9,13
İ. Gündoğan,31,2023,85,85,44000000.0,185000.0,77,80,50,88,75,85,86,80,84,90,66,63,77,85,77,79,61,74,73,80,70,75,83,86,80,87,77,75,67,11,14,5,5,13
R. Kolo Muani,23,2027,82,86,44000000.0,40000.0,64,80,78,79,80,86,70,54,62,83,90,87,84,81,83,81,82,74,76,66,32,38,84,82,67,85,32,33,32,7,14,15,8,5
Rúben Neves,25,2024,83,86,43500000.0,95000.0,80,66,53,88,82,75,85,81,88,82,64,57,68,81,73,86,66,79,67,83,82,78,62,87,76,88,77,79,77,16,12,10,8,10
Raphinha,25,2027,83,84,43500000.0,180000.0,79,77,45,76,72,87,81,79,74,84,90,91,88,83,79,83,74,86,65,79,76,55,82,77,78,80,47,54,38,8,7,13,8,14
Gavi,17,2026,80,89,43500000.0,18000.0,69,68,42,83,49,84,74,47,79,83,77,75,86,84,90,56,70,84,58,67,85,75,78,82,51,74,59,72,66,8,10,11,7,13
Oyarzabal,25,2028,83,84,43500000.0,47000.0,80,85,60,82,74,84,77,78,73,85,78,76,77,79,77,80,72,79,57,81,52,29,85,82,84,83,55,32,30,10,6,10,13,11
T. Müller,32,2024,85,85,43000000.0,100000.0,85,85,79,85,84,77,81,59,79,83,64,59,68,93,71,78,77,82,66,79,62,58,94,86,70,84,47,57,46,6,7,11,14,14
J. Brandt,26,2026,83,84,43000000.0,66000.0,82,80,54,85,79,86,80,76,82,87,67,72,84,86,83,83,63,85,71,81,43,58,81,86,55,84,49,45,56,11,16,11,8,9
Y. Carrasco,28,2024,84,84,42500000.0,85000.0,80,81,55,80,74,89,86,80,74,85,87,88,86,79,70,84,71,75,61,82,65,47,80,80,79,84,46,64,61,9,11,9,10,10
T. Lemar,26,2027,83,84,42500000.0,74000.0,82,77,54,84,77,88,85,81,80,86,85,81,90,82,86,79,67,81,56,79,63,76,81,85,69,81,55,76,69,11,15,13,7,14
N. Fekir,28,2026,84,84,42500000.0,44000.0,81,80,50,81,77,88,83,79,77,85,87,78,83,80,91,84,64,77,80,81,82,36,81,84,74,88,36,44,30,15,9,8,14,15
R. Bentancur,25,2026,82,86,42000000.0,105000.0,76,66,62,85,71,85,71,68,83,85,73,70,72,79,78,69,73,86,72,65,78,82,72,83,64,86,79,83,78,8,7,14,14,12
H. Çalhanoğlu,28,2024,84,84,42000000.0,100000.0,78,75,53,88,74,85,85,85,84,88,72,62,83,84,79,86,45,80,55,87,76,76,74,86,81,85,74,70,65,9,14,11,6,10
R. De Paul,28,2026,84,84,42000000.0,85000.0,78,76,58,85,71,82,84,76,85,85,80,76,78,81,78,80,68,91,79,78,82,79,78,86,66,81,72,81,75,13,12,10,7,14
Parejo,33,2024,86,86,42000000.0,64000.0,86,83,61,92,72,81,88,90,90,86,55,52,63,79,72,81,50,76,70,88,59,80,81,90,88,85,72,73,71,5,9,12,14,8
Antony,22,2027,81,87,41500000.0,120000.0,79,76,45,74,67,86,86,74,62,88,89,78,93,82,88,75,57,81,62,81,82,50,76,75,66,82,49,45,31,9,10,14,8,13
D. Szoboszlai,21,2026,81,87,41500000.0,46000.0,81,77,58,81,85,83,90,87,79,83,78,88,80,78,63,87,69,74,67,87,40,32,77,82,79,80,35,30,25,10,10,13,10,6
F. Kostić,29,2026,84,84,41500000.0,150000.0,90,72,59,81,75,84,85,80,79,82,85,85,75,82,79,86,67,90,77,78,76,69,79,80,66,82,69,74,72,13,14,12,12,13
K. Kvaratskhelia,21,2027,81,87,41500000.0,53000.0,75,78,62,80,64,85,82,65,76,87,83,84,84,74,73,78,59,79,70,78,62,40,80,81,65,82,38,39,34,9,15,8,14,8
P. Pogba,29,2026,84,84,41000000.0,150000.0,73,74,74,87,84,89,85,82,91,87,60,72,71,76,65,90,80,64,88,84,78,62,77,90,80,85,54,67,63,5,6,2,4,3
Luis Alberto,29,2025,84,84,41000000.0,81000.0,69,75,49,90,76,83,86,79,88,90,72,67,77,79,83,82,53,69,64,80,29,64,76,91,56,80,63,66,59,6,8,6,12,11
Jorginho,30,2024,84,84,40500000.0,120000.0,75,64,56,90,71,79,75,76,88,87,63,47,75,82,72,71,58,86,66,62,78,80,69,84,89,84,67,80,71,14,7,13,14,8
M. Locatelli,24,"Jun 30, 2023",82,86,40000000.0,37000.0,73,62,68,85,70,79,73,64,83,83,65,69,65,80,59,79,65,89,77,82,77,78,68,82,60,82,80,83,75,11,12,11,10,15
Á. Correa,27,2026,83,83,39500000.0,80000.0,75,86,71,80,80,87,82,66,68,87,86,85,90,84,88,83,53,84,68,86,79,48,86,82,67,79,42,53,44,13,10,9,8,16
Lucas Paquetá,24,2027,81,86,39000000.0,71000.0,72,78,68,82,74,86,77,74,78,85,71,73,75,81,77,77,78,78,77,77,76,71,80,82,75,88,67,72,63,14,9,12,11,11
R. Gravenberch,20,2027,79,88,38500000.0,45000.0,75,76,58,80,69,84,74,69,78,85,76,78,80,73,76,78,72,81,75,79,52,74,74,80,58,76,69,69,59,12,8,6,11,12
K. Laimer,25,2023,83,84,38500000.0,64000.0,78,69,69,80,60,79,70,47,77,80,82,78,76,82,74,74,73,90,69,68,89,86,73,78,54,79,85,81,76,9,12,12,13,12
Yeremy Pino,19,2027,79,87,38000000.0,21000.0,77,79,46,78,67,81,73,60,74,80,78,77,79,74,79,68,34,70,33,69,48,29,79,76,54,60,31,48,41,9,7,14,6,9
A. Danjuma,25,"Jun 30, 2023",82,83,37000000.0,47000.0,77,85,72,80,70,84,79,59,66,83,84,87,84,86,76,82,67,69,74,79,55,32,83,78,75,77,35,52,47,15,8,10,8,14
P. Zieliński,28,2024,83,83,36500000.0,78000.0,73,75,52,85,75,87,80,65,81,87,83,79,85,81,79,79,52,79,57,83,56,75,80,84,58,75,69,72,71,12,9,12,11,6
Sergi Darder,28,2026,83,83,36500000.0,33000.0,75,74,60,86,74,84,83,65,85,84,81,83,82,80,75,83,60,85,75,78,75,76,78,84,60,85,75,76,75,8,9,9,8,12
Palhinha,26,2027,82,85,36000000.0,72000.0,59,62,79,77,54,77,64,45,78,78,63,67,66,77,51,79,81,87,89,64,90,80,67,71,56,82,83,85,84,14,10,8,7,7
A. Gouiri,22,2027,79,86,36000000.0,49000.0,76,81,68,79,78,82,78,76,69,80,81,75,76,77,72,81,69,72,73,82,61,44,82,76,78,78,45,41,32,6,12,8,9,7
M. Brozović,29,2026,84,84,36000000.0,90000.0,73,69,70,84,65,78,79,74,83,83,68,66,79,79,84,80,70,93,68,84,86,83,65,82,69,82,78,84,82,8,8,15,11,8
G. Raspadori,22,"Jun 30, 2023",79,86,36000000.0,37000.0,54,80,69,78,76,80,69,60,58,83,85,77,77,78,86,77,60,65,54,75,59,18,81,76,76,77,24,23,21,13,14,7,7,9
E. Smith Rowe,21,2026,79,86,35500000.0,69000.0,74,76,36,81,60,84,72,58,67,82,78,76,77,79,75,70,34,73,61,71,52,28,82,78,64,78,37,30,31,11,8,14,8,10
Fabián Ruiz,26,2027,82,83,35500000.0,95000.0,72,79,67,85,67,83,75,61,80,86,61,55,66,80,67,77,46,86,67,84,68,76,80,83,67,85,70,78,75,16,11,7,13,13
Muniain,29,2024,83,83,35500000.0,44000.0,81,78,43,83,75,86,84,79,77,86,84,76,91,80,94,73,72,76,49,78,66,45,80,83,64,84,58,55,38,10,5,5,13,12
M. Mount,23,2024,81,84,35000000.0,100000.0,83,78,59,83,75,81,82,84,83,82,76,72,77,81,76,81,54,83,58,82,68,59,79,80,69,82,56,59,42,11,12,13,8,12
Matheus Nunes,23,2027,79,86,35000000.0,73000.0,59,71,53,80,59,84,74,58,79,82,81,84,80,81,76,77,56,83,74,68,76,78,79,77,62,80,75,75,74,,,,,
Canales,31,2026,84,84,35000000.0,42000.0,81,78,50,85,67,83,85,84,83,84,84,83,83,84,82,77,39,81,71,84,69,77,84,90,80,80,63,74,62,15,12,16,13,12
C. Eriksen,30,2025,83,83,34500000.0,145000.0,88,72,52,90,80,77,89,87,90,90,63,60,68,81,78,84,49,74,52,84,46,52,75,90,72,88,59,57,22,9,14,7,7,6
Koke,30,2024,83,83,34500000.0,74000.0,85,69,61,85,57,77,84,77,83,82,71,68,70,82,81,82,59,85,75,75,79,82,76,83,67,84,80,83,71,14,12,5,10,13
Carlos Soler,25,2027,81,84,34000000.0,85000.0,77,78,56,83,66,80,80,84,83,81,78,78,76,79,73,77,58,82,71,76,65,74,78,82,85,76,67,77,68,6,14,7,13,11
Sancet,22,2032,80,86,34000000.0,29000.0,69,76,71,82,73,82,72,53,74,83,75,72,84,81,67,79,57,80,76,74,56,70,79,83,70,85,45,68,60,15,11,6,15,7
Vitinha,22,2027,80,86,33500000.0,72000.0,71,66,39,85,62,85,68,61,82,85,75,68,90,76,84,69,56,78,60,71,72,76,72,80,73,82,74,72,68,12,13,8,5,5
R. Guerreiro,28,2023,83,83,33000000.0,63000.0,85,77,44,89,79,87,85,82,85,89,79,58,90,88,90,79,52,78,49,84,45,85,79,85,54,86,79,78,77,12,6,8,11,8
D. Kamada,25,2023,81,83,32500000.0,37000.0,75,75,53,84,66,83,78,74,80,83,81,78,85,80,84,65,59,79,57,73,54,52,81,82,80,81,53,57,54,6,10,11,6,11
E. Can,28,2024,83,83,32000000.0,63000.0,64,74,81,83,73,81,77,64,83,79,67,88,70,83,75,85,87,84,86,80,92,80,72,76,70,83,79,86,80,14,8,8,13,11
X. Schlager,24,2026,81,84,32000000.0,49000.0,59,66,44,80,60,78,73,60,80,78,74,75,78,81,77,78,66,85,80,76,85,83,75,78,56,74,77,77,73,6,8,8,12,7
A. Rabiot,27,2023,82,82,32000000.0,120000.0,73,70,79,83,72,79,71,59,83,83,75,79,69,82,69,86,79,87,83,78,81,83,79,78,69,82,80,83,80,9,12,9,7,15
S. Lobotka,27,2027,82,82,32000000.0,69000.0,75,70,45,85,43,82,75,55,85,85,76,67,77,81,86,73,79,85,71,77,76,79,70,85,56,77,78,79,78,10,7,16,13,14
A. Zambo Anguissa,26,2027,82,83,32000000.0,63000.0,62,66,72,80,54,82,59,45,74,82,79,78,76,83,77,74,76,85,87,70,85,84,79,75,60,82,80,86,75,11,11,9,8,11
M. Guendouzi,23,2025,80,85,31500000.0,41000.0,67,66,69,84,58,76,75,67,80,80,75,76,83,79,71,75,76,87,75,69,86,77,74,82,70,83,72,76,72,6,13,6,13,11
E. Palacios,23,2025,80,85,31500000.0,51000.0,67,71,63,83,63,79,73,54,82,81,68,54,78,73,79,81,74,83,65,76,81,84,72,79,70,80,77,78,82,10,5,8,9,6
B. Kamara,22,2027,80,86,31000000.0,69000.0,64,47,72,79,28,71,59,47,77,77,69,70,68,75,66,67,79,82,78,63,78,84,52,72,63,84,79,82,80,,,,,
A. Saint-Maximin,25,2026,81,82,31000000.0,105000.0,74,72,53,77,66,92,76,58,64,83,89,89,93,78,89,82,73,77,74,70,43,23,77,77,58,83,30,25,23,10,9,12,7,7
M. Terrier,25,2025,81,82,31000000.0,61000.0,73,85,75,78,79,80,77,58,72,82,84,86,73,78,70,79,78,77,75,80,57,27,82,77,73,79,34,31,34,12,5,13,5,8
K. Adeyemi,20,2027,78,87,31000000.0,33000.0,66,77,63,74,71,80,67,62,64,77,95,96,88,76,81,76,91,75,65,74,59,23,76,70,70,74,18,19,25,12,12,7,12,7
M. Kovačić,28,2024,82,82,30500000.0,130000.0,73,61,42,89,76,87,78,70,84,88,76,65,86,83,84,78,75,75,65,76,77,76,73,82,59,84,73,75,68,9,5,6,7,7
G. Lo Celso,26,"Jun 30, 2023",81,82,30500000.0,100000.0,78,73,62,84,71,85,82,79,83,85,74,69,81,82,80,82,56,75,69,74,82,70,75,85,65,83,64,73,68,10,7,10,15,14
C. Pulisic,23,2024,80,84,30000000.0,105000.0,74,73,50,77,70,86,70,58,59,83,88,82,87,77,87,76,79,67,54,61,45,33,78,78,61,79,38,32,47,8,12,13,16,14
W. Zaha,29,2023,82,82,30000000.0,85000.0,75,80,47,74,68,87,71,54,69,86,88,91,85,74,75,83,58,78,77,72,77,35,78,70,76,80,34,39,36,15,10,15,11,10
A. Mac Allister,23,2025,80,84,30000000.0,65000.0,79,78,61,83,74,80,83,82,81,82,73,68,73,80,76,78,64,82,69,81,64,64,78,81,81,81,72,72,65,7,10,14,15,10
V. Grifo,29,2026,82,82,30000000.0,43000.0,88,77,47,80,73,82,85,87,75,83,73,75,81,79,79,84,52,71,65,79,52,45,81,80,90,74,48,31,30,10,12,8,8,14
G. Xhaka,29,2024,82,82,29500000.0,105000.0,74,67,62,86,50,72,76,77,85,83,48,50,49,79,61,90,33,85,79,79,91,75,76,82,65,72,75,79,74,7,8,11,7,13
M. Götze,30,2025,82,82,29500000.0,41000.0,80,75,47,86,84,83,81,72,81,88,68,62,78,81,83,75,58,85,67,68,59,65,81,86,78,87,64,42,53,14,7,12,6,10
Angeliño,25,"Jun 30, 2023",81,83,29500000.0,54000.0,87,70,63,80,63,83,83,76,80,81,85,67,85,79,85,80,72,84,60,67,77,78,77,77,55,79,76,74,74,13,6,13,13,13
L. Bailey,24,2025,80,83,29000000.0,84000.0,73,78,57,72,73,84,79,79,65,81,93,92,85,78,84,79,76,63,61,77,55,21,79,77,71,75,45,25,18,12,13,6,15,14
H. Barnes,24,2025,80,83,29000000.0,77000.0,72,78,46,78,68,81,76,69,69,82,84,85,78,83,79,82,59,74,73,78,53,43,81,80,54,77,44,43,40,6,5,11,8,10
D. Malen,23,2026,80,83,29000000.0,45000.0,73,80,67,77,76,85,76,61,58,84,91,88,86,78,84,85,76,74,71,72,62,31,79,74,74,76,29,33,35,7,9,9,10,14
L. Modrić,36,2023,88,88,29000000.0,230000.0,86,72,55,91,76,85,85,78,92,90,76,70,91,88,92,79,67,83,58,82,62,80,78,90,83,92,70,75,72,13,9,7,14,9
T. Kubo,21,2027,78,85,29000000.0,28000.0,72,83,60,74,73,83,75,73,65,85,88,79,85,82,83,75,52,75,59,76,43,29,81,68,69,68,38,43,46,6,7,15,10,10
V. Tsygankov,24,2027,80,83,29000000.0,29000.0,77,76,45,79,69,80,72,76,73,81,84,85,82,78,73,72,50,77,52,75,61,39,79,80,81,77,60,39,37,9,7,15,6,12
D. Zakaria,25,"Jun 30, 2023",80,85,28500000.0,90000.0,68,64,67,79,35,78,63,46,75,78,75,86,67,80,64,75,66,77,87,63,88,78,65,73,48,82,80,81,78,,,,,
C. Gallagher,22,2025,78,85,28500000.0,81000.0,69,77,49,77,63,78,65,70,76,79,69,78,68,80,68,79,58,93,64,78,81,71,78,75,55,72,64,75,67,7,6,15,9,9
T. Koopmeiners,24,2025,80,83,28500000.0,49000.0,76,70,73,84,69,75,69,77,83,81,64,74,66,83,71,79,78,85,75,80,73,79,75,77,85,79,77,75,75,14,8,14,12,10
K. Thuram,21,2025,79,85,28000000.0,35000.0,72,75,76,82,55,80,72,56,78,80,75,74,71,78,69,74,74,81,80,71,70,77,78,79,59,79,77,77,74,7,9,14,11,9
E. Elmas,22,2025,79,85,28000000.0,49000.0,68,73,58,81,56,86,64,54,77,85,77,75,84,73,69,79,47,76,64,74,72,69,72,74,58,74,62,72,64,8,5,14,6,15
